"Search query: ((""1700""[Date - Publication] : ""2019""[Date - Publication]))"
Year,Count
2020,163644
2019,1392826
2018,1334383
2017,1295762
2016,1279742
2015,1254299
2014,1202969
2013,1148784
2012,1088340
2011,1019508
2010,941591
2009,877239
2008,836698
2007,786240
2006,749580
2005,700105
2004,639407
2003,594246
2002,565227
2001,547429
2000,532395
1999,493676
1998,474562
1997,456660
1996,458598
1995,449050
1994,438136
1993,427396
1992,417871
1991,413151
1990,410829
1989,402664
1988,386982
1987,367906
1986,349596
1985,335236
1984,318193
1983,309465
1982,295706
1981,283590
1980,280628
1979,282076
1978,272529
1977,262172
1976,254958
1975,249192
1974,235110
1973,231127
1972,227810
1971,223609
1970,219426
1969,215347
1968,208158
1967,192052
1966,180185
1965,176737
1964,162110
1963,141540
1962,125694
1961,120180
1960,112222
1959,110000
1958,109469
1957,111529
1956,107016
1955,108562
1954,105942
1953,108924
1952,108182
1951,103821
1950,85792
1949,62827
1948,70757
1947,65050
1946,53929
1945,20513
1944,4791
1943,4562
1942,4772
1941,4848
1940,4981
1939,5587
1938,5807
1937,5349
1936,5411
1935,5703
1934,5556
1933,5672
1932,5614
1931,5538
1930,5669
1929,5770
1928,5521
1927,5934
1926,5382
1925,5052
1924,4936
1923,4476
1922,4133
1921,4632
1920,5034
1919,4387
1918,4066
1917,4010
1916,4307
1915,4488
1914,5029
1913,5009
1912,4717
1911,4814
1910,4638
1909,4563
1908,4233
1907,3863
1906,3557
1905,3660
1904,3617
1903,3427
1902,3285
1901,3195
1900,3128
1899,3156
1898,3483
1897,3399
1896,3224
1895,3014
1894,2812
1893,3229
1892,2834
1891,2252
1890,2572
1889,3007
1888,2591
1887,2630
1886,2127
1885,2021
1884,1804
1883,1803
1882,1214
1881,1554
1880,1496
1879,1252
1878,1305
1877,1135
1876,1143
1875,1140
1874,1185
1873,1353
1872,1365
1871,1103
1870,1073
1869,1175
1868,1101
1867,989
1866,792
1865,466
1864,521
1863,377
1862,462
1861,488
1860,719
1859,593
1858,716
1857,668
1856,629
1855,690
1854,428
1853,592
1852,527
1851,546
1850,463
1849,434
1848,501
1847,523
1846,561
1845,589
1844,609
1843,813
1842,972
1841,829
1840,395
1839,289
1838,265
1837,281
1836,220
1835,222
1834,209
1833,221
1832,285
1831,579
1830,510
1829,568
1828,409
1827,327
1826,385
1825,262
1824,269
1823,291
1822,247
1821,270
1820,213
1819,225
1818,279
1817,288
1816,315
1815,222
1814,285
1813,265
1812,239
1811,322
1810,267
1809,265
1808,289
1807,295
1806,282
1805,314
1804,304
1803,269
1802,291
1801,368
1800,387
1799,300
1798,19
1797,69
1796,20
1795,13
1794,18
1793,17
1792,33
1791,19
1790,45
1789,32
1788,33
1787,43
1786,60
1785,43
1784,31
1783,26
1782,22
1781,69
